concept_id,variety_id
float,ruk_tw
float,ruk_tn
float,ruk_mg
float,ruk_mn
float,puy_py
float,puy_tp
float,puy_ws
float,puy_ks
float,trv
float,kav
float,tso
float,knv
float,hla
float,yam
float,sak
float,pan
flow,ami_nt
flow,ami_hk
flow,ami_ha
flow,ami_ml
flow,ami_hc
flow,ata_sq
flow,ata_su
flow,ata_ml
flow,ata_pl
flow,ata_sk
flow,ata_kl
flow,say
flow,tha
flow,sed_to
flow,sed_tg
flow,sed_tr
flow,bun_td
flow,bun_bh
flow,bun_vt
flow,bun_bn
flow,bun_ib
flow,pai_es
flow,pai_nt
flow,pai_ct
flow,pai_st
flow,ruk_es
flow,ruk_bd
flow,ruk_tw
flow,ruk_tn
flow,ruk_mg
flow,ruk_mn
flow,puy_py
flow,puy_tp
flow,puy_ws
flow,puy_ks
flow,trv
flow,kav
flow,tso
flow,knv
flow,hla
flow,yam
flow,sak
flow,pan
freeze,ami_nt
freeze,ami_hk
freeze,ami_ha
freeze,ami_ml
freeze,ami_hc
freeze,ata_sq
freeze,ata_su
freeze,ata_ml
freeze,ata_pl
freeze,ata_sk
freeze,ata_kl
freeze,say
freeze,tha
freeze,sed_to
freeze,sed_tg
freeze,sed_tr
freeze,bun_td
freeze,bun_bh
freeze,bun_vt
freeze,bun_bn
freeze,bun_ib
freeze,pai_es
freeze,pai_nt
freeze,pai_ct
freeze,pai_st
freeze,ruk_es
freeze,ruk_bd
freeze,ruk_tw
freeze,ruk_tn
freeze,ruk_mg
freeze,ruk_mn
freeze,puy_py
freeze,puy_tp
freeze,puy_ws
freeze,puy_ks
freeze,trv
freeze,kav
freeze,tso
freeze,knv
freeze,hla
freeze,yam
freeze,sak
freeze,pan
freeze,pmp
sea,ami_nt
sea,ami_hk
sea,ami_ha
sea,ami_ml
sea,ami_hc
sea,ata_sq
sea,ata_su
sea,ata_ml
sea,ata_pl
sea,ata_sk
sea,ata_kl
sea,say
sea,tha
sea,sed_to
sea,sed_tg
sea,sed_tr
sea,bun_td
sea,bun_bh
sea,bun_vt
sea,bun_bn
sea,bun_ib
sea,pai_es
sea,pai_nt
sea,pai_ct
sea,pai_st
sea,ruk_es
sea,ruk_bd
sea,ruk_tw
sea,ruk_tn
sea,ruk_mg
sea,ruk_mn
sea,puy_py
sea,puy_tp
sea,puy_ws
sea,puy_ks
sea,trv
sea,kav
sea,tso
sea,knv
sea,hla
sea,yam
sea,sak
sand,yam
dust,ami_nt
dust,ami_hk
dust,ami_ha
dust,ami_ml
dust,ami_hc
dust,ata_sq
dust,ata_su
dust,ata_ml
dust,ata_pl
dust,ata_sk
dust,ata_kl
dust,say
dust,tha
dust,sed_to
dust,sed_tg
dust,sed_tr
dust,bun_td
dust,bun_bh
dust,bun_vt
dust,bun_bn
dust,bun_ib
dust,pai_es
dust,pai_nt
dust,pai_ct
dust,pai_st
dust,ruk_es
dust,ruk_bd
dust,ruk_tw
dust,ruk_tn
dust,ruk_mg
dust,ruk_mn
dust,puy_py
dust,puy_tp
dust,puy_ws
dust,puy_ks
dust,trv
dust,kav
dust,tso
dust,knv
dust,hla
dust,yam
dust,sak
earth,pan
cloud,ami_nt
cloud,ami_hk
cloud,ami_ha
cloud,ami_ml
cloud,ami_hc
cloud,ata_sq
cloud,ata_su
cloud,ata_ml
cloud,ata_pl
cloud,ata_sk
cloud,ata_kl
cloud,tso
fog,ami_nt
fog,ami_hk
fog,ami_ha
fog,ami_ml
fog,ami_hc
fog,ata_sq
fog,ata_su
fog,ata_ml
fog,ata_pl
fog,ata_sk
fog,ata_kl
fog,say
fog,tha
fog,sed_to
fog,sed_tg
fog,sed_tr
fog,bun_td
fog,bun_bh
fog,bun_vt
fog,bun_bn
fog,bun_ib
fog,pai_es
fog,pai_nt
fog,pai_ct
fog,pai_st
fog,ruk_es
fog,ruk_bd
fog,ruk_tw
fog,ruk_tn
fog,ruk_mg
fog,ruk_mn
