concept_id,variety_id,orth,source_type,source_id,source_gloss,source_level,file,sheet,row,source_note,fallback_from
forest,ami_nt,kilakilangan,excel,10-09,森林,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,401,,
sun,ami_nt,cidal,excel,11-02,太陽,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,417,,
moon,ami_nt,vulad,excel,11-03,月亮,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,418,,
sky,ami_nt,kakarayan,excel,11-04,天空,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,419,,
star,ami_nt,vuis,excel,11-05,星星,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,420,,
rain,ami_nt,urad,excel,11-06,雨,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,421,,
snow,ami_nt,suleda,excel,11-07,雪,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,422,,
smoke,ami_nt,acuvel,excel,11-13,煙,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,428,,
fire,ami_nt,lamal,excel,11-17,火,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,432,,
ice,ami_nt,kuli,excel,11-18,冰,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,433,,
stone,ami_nt,vekeluh,excel,12-05,石頭,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,454,,
night,ami_nt,lavii,excel,13-02,晚上,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,471,,
day,ami_nt,remiad,excel,13-07,白天,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,476,,
night,ami_nt,laviʼi,excel,13-22,夜,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,491,,
year,ami_nt,mihca,excel,13-28,年,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,497,,
in,ami_nt,lalavu,excel,14-01,裡面,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,502,,
at,ami_nt,icuwaay,excel,14-02,在某處,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,503,,
right,ami_nt,kawanan,excel,14-10,右邊,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,511,,
left,ami_nt,kawiliyan,excel,14-11,左邊,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,512,,
water,ami_nt,nanum,excel,21-02,水,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,601,,
salt,ami_nt,cilah,excel,21-07,鹽,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,606,,
egg,ami_nt,litaul,excel,21-09,蛋,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,608,,
white,ami_nt,vuhecalay,excel,22-01,白色的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,626,,
black,ami_nt,muhetingay,excel,22-02,黑色的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,627,,
red,ami_nt,lahengangay,excel,22-03,紅色的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,628,,
yellow,ami_nt,kulawlaway,excel,22-05,黃色的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,630,,
green,ami_nt,langdaway,excel,22-08,綠色的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,633,,
give,ami_nt,paveli,excel,25-07,給,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,663,,
come,ami_nt,tayni,excel,25-08,來,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,664,,
walk,ami_nt,remakat,excel,25-10,走路,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,666,,
