concept_id,variety_id,orth,ipa,note
he,pai_ct,timadju,,2026學習詞表 02-03「他」
he,pai_st,timadju,,2026學習詞表 02-03「他」
he,ruk_es,kwani,,2026學習詞表 02-03「他」
he,ruk_bd,lasu,,2026學習詞表 02-03「他」
he,ruk_tw,lasu/alisu,,2026學習詞表 02-03「他」：lasu(他)/alisu(她)
he,ruk_tn,kini,,2026學習詞表 02-03「他」
he,ruk_mg,kini,,2026學習詞表 02-03「他」
he,ruk_mn,ine,,2026學習詞表 02-03「他」
he,puy_py,taytaw,,2026學習詞表 02-03「他」
he,puy_tp,intaw,,2026學習詞表 02-03「他」
he,puy_ws,intaw,,2026學習詞表 02-03「他」
he,puy_ks,intaw,,2026學習詞表 02-03「他」
he,trv,hiya,,2026學習詞表 02-03「他」：主格/第三人稱
he,kav,aizipna,,2026學習詞表 02-03「他」：主格
he,tso,taini,,2026學習詞表 02-03「他」
he,knv,nguain,,2026學習詞表 02-03「他」
he,hla,kanaʼana,,2026學習詞表 02-03「他」
he,yam,iya,,2026學習詞表 02-03「他」；2026學習詞表 02-12「他」
he,sak,ciniza/cinida,,2026學習詞表 02-03「他」
he,pan,*ia₁,,"ACD PAN 19072-f9714f427ece03dbb7d64ddfe65d087e-1「3sg. personal pronoun: he, she; him, her, it」"
he,pmp,*ia₁,,"ACD PMP 19081-f9714f427ece03dbb7d64ddfe65d087e-1「3sg. personal pronoun: he, she; him, her, it」"
we,ami_nt,kami / kita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ami_hk,kita / kami,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ami_ha,kami / kita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ami_ml,kami / kita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ami_hc,kami / kita,,2026學習詞表 02-05「我們」：我們(排除式)；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ata_sq,ta / sami / ita,,2026學習詞表 02-05「我們」：ta’/ita；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」：ita’
we,ata_su,sami/ita / sami / ita,,2026學習詞表 02-05「我們」：cami(新生部落)；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ata_ml,taʼ/ itaʼ/ cami/ icami / cami/ icami / taʼ/ itaʼ,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ata_pl,min/cami/ta/ita / cami / itaʼ,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ata_sk,cami/ta/ita / cami / ita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ata_kl,cami/ ita/ sami / cami/ sami / ita,,2026學習詞表 02-05「我們」：sami(眉原)；2026學習詞表 02-13「我們(排除式)」：sami(眉原)；2026學習詞表 02-14「咱們(包含式)」
we,say,yami / ʼitaʼ,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「我們(包含式)」：mita’
we,tha,ita/iamin / iamin / ita,,2026學習詞表 02-05「我們」：ita (包含式) iamin (排除式)；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,sed_to,yami / ita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,sed_tg,yami / nita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」：miyan；2026學習詞表 02-14「咱們(包含式)」
we,sed_tr,yami / ita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,bun_td,azam/ata/zami / azam / ita /ata,,2026學習詞表 02-05「我們」：主格/屬格azam/ata/zami/ita；2026學習詞表 02-13「我們(排除式)」：主格；2026學習詞表 02-14「咱們(包含式)」：主格 / 賓格
we,bun_bh,ita / ata,,2026學習詞表 02-05「我們」：(包含)ata/ita/cata(排他) azam/cam/zami；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,bun_vt,aam / mita,,"2026學習詞表 02-05「我們」：(包含)主格ata/mita/ita/sata, (排他)zami/aam/saam；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」：mita/ata/ita/sata"
we,bun_bn,ata/mita / saam / zami /  samin,,2026學習詞表 02-05「我們」：ata/mita；2026學習詞表 02-13「我們(排除式)」：saam；2026學習詞表 02-14「咱們(包含式)」：ata
we,bun_ib,kaimin / kata,,2026學習詞表 02-05「我們」：(排他)主-kaimin/受-zami (包含)主-kata/受-mita；2026學習詞表 02-13「我們(排除式)」：主-kaimin/受-zami；2026學習詞表 02-14「咱們(包含式)」：主-kata/受-mita
we,pai_es,timitja / tiyamen / titjen,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,pai_nt,tiamen / titjen,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,pai_ct,tiamen / titjen,,2026學習詞表 02-05「我們」：timitja；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,pai_st,tiamen / timitja,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ruk_es,konai / kota； konai,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ruk_bd,kuta / kunay,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ruk_tw,kunai / kuta,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ruk_tn,kiname / kita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ruk_mg,kɨnamɨ / nɨma / mitia,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,ruk_mn,iname / nai / imite,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,puy_py,mi / mimi / tayta,,2026學習詞表 02-05「我們」：排除主格；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「我們(包含式)」
we,puy_tp,iniyam / inta,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「我們(包含式)」
we,puy_ws,iniyam / inta,,2026學習詞表 02-05「我們」：iniyam我們(排除式)；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「我們(包含式)」
we,puy_ks,iniyam / inta,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「我們(包含式)」
we,trv,yami / ita,,2026學習詞表 02-05「我們」：主格;第一人稱複數;排他性；2026學習詞表 02-13「我們(排除式)」：主格;第一人稱複數;排他性；2026學習詞表 02-14「咱們(包含式)」：主格;第一人稱複數;包含式
we,kav,aimi / aita,,2026學習詞表 02-05「我們」：主格；2026學習詞表 02-13「我們(排除式)」：主格；2026學習詞表 02-14「咱們(包含式)」：主格
we,tso,a’mia/a’mi / a’mi/a’mia / aʼto,,2026學習詞表 02-05「我們」：a’mia達邦說法/a’mi特富野說法；2026學習詞表 02-13「我們(排除式)」：a’mi達邦說法/a’mia特富野說法；2026學習詞表 02-14「咱們(包含式)」
we,knv,kita / kimia / kitana,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,hla,ihlakia / ihlahlamu,,2026學習詞表 02-05「我們」：(排除式)用於較小單位數；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,yam,yamen / namen / jiyaten / ta,,2026學習詞表 02-05「我們」：主格(自由)；2026學習詞表 02-08「我們」：主格(附著)、屬格(附著)；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」；2026學習詞表 02-15「咱們」
we,sak,kami / kita,,2026學習詞表 02-05「我們」；2026學習詞表 02-13「我們(排除式)」；2026學習詞表 02-14「咱們(包含式)」
we,pan,*ita₁ / *i-ami,,"ACD PAN 19072-42dc6c5bee537c4850d8dd80da64d83f-1「we (incl.)」；ACD PAN 19072-d299990b6539fdcfaf8a1e0776434cb3-1「1pl. excl. nominative, we」"
we,pmp,*ita₁ / *kam-ami,,"ACD PMP 19081-42dc6c5bee537c4850d8dd80da64d83f-1「we (incl.)」；ACD PMP 19081-f9853c80575cdb596f810f7a8d1fe958-1「1pl. excl., we」"
you_plural,ami_nt,kamu,,2026學習詞表 02-04「你們」
you_plural,ami_hk,kamo,,2026學習詞表 02-04「你們」
you_plural,ami_ha,kamo,,2026學習詞表 02-04「你們」
you_plural,ami_ml,kamo,,2026學習詞表 02-04「你們」
you_plural,ami_hc,kamo,,2026學習詞表 02-04「你們」：你們(複數／第二人稱／主格)
you_plural,ata_sq,simu,,2026學習詞表 02-04「你們」
you_plural,ata_su,simu,,2026學習詞表 02-04「你們」
you_plural,ata_ml,cimu/ icimu,,2026學習詞表 02-04「你們」
you_plural,ata_pl,mamu/cimu,,2026學習詞表 02-04「你們」
you_plural,ata_sk,cimu,,2026學習詞表 02-04「你們」
you_plural,ata_kl,cimuw/ simu,,2026學習詞表 02-04「你們」：simu(眉原)
you_plural,say,moyo,,2026學習詞表 02-04「你們」
you_plural,tha,maniun,,2026學習詞表 02-04「你們」：另作你們的
you_plural,sed_to,yamu,,2026學習詞表 02-04「你們」
you_plural,sed_tg,yamu,,2026學習詞表 02-04「你們」
you_plural,sed_tr,yamu,,2026學習詞表 02-04「你們」
you_plural,bun_td,amu/muʼu,,2026學習詞表 02-04「你們」：主格/屬格
you_plural,bun_bh,muʼu/amu/mu,,2026學習詞表 02-04「你們」
you_plural,bun_vt,amuu,,2026學習詞表 02-04「你們」：muu/amuu/samu/mu’u
you_plural,bun_bn,amu / muʼu,,2026學習詞表 02-04「你們」：amu/mu-u
you_plural,bun_ib,kamu,,2026學習詞表 02-04「你們」：主-kamu/受-muu
you_plural,pai_es,timun,,2026學習詞表 02-04「你們」
you_plural,pai_nt,timun,,2026學習詞表 02-04「你們」
you_plural,pai_ct,timun,,2026學習詞表 02-04「你們」
you_plural,pai_st,timun,,2026學習詞表 02-04「你們」
you_plural,ruk_es,konomi,,2026學習詞表 02-04「你們」
you_plural,ruk_bd,kunumi,,2026學習詞表 02-04「你們」
you_plural,ruk_tw,kunumi,,2026學習詞表 02-04「你們」
you_plural,ruk_tn,komo,,2026學習詞表 02-04「你們」
you_plural,ruk_mg,mumu,,2026學習詞表 02-04「你們」
you_plural,ruk_mn,inome,,2026學習詞表 02-04「你們」
you_plural,puy_py,muymu,,2026學習詞表 02-04「你們」
you_plural,puy_tp,inmu,,2026學習詞表 02-04「你們」
you_plural,puy_ws,inmu,,2026學習詞表 02-04「你們」
you_plural,puy_ks,inmu,,2026學習詞表 02-04「你們」
you_plural,trv,yamu,,2026學習詞表 02-04「你們」：主格;第二人稱複數;排他性
you_plural,kav,aimu,,2026學習詞表 02-04「你們」：主格
you_plural,tso,muu,,2026學習詞表 02-04「你們」
you_plural,knv,ikamu,,2026學習詞表 02-04「你們」
you_plural,hla,ihlamu,,2026學習詞表 02-04「你們」
you_plural,yam,inyo,,2026學習詞表 02-04「你們」；2026學習詞表 02-07「你們」
you_plural,sak,kamu,,2026學習詞表 02-04「你們」
you_plural,pan,*k-amu,,"ACD PAN 19072-b81ace7f89124abe41bb320d7ce63a81-1「2pl. nominative, you all」"
you_plural,pmp,*kamu₂,,"ACD PMP 19081-b81ace7f89124abe41bb320d7ce63a81-1「2pl. nominative, you all」"
they,ami_nt,heni,,2026學習詞表 02-06「他們」
they,ami_hk,caira,,2026學習詞表 02-06「他們」
they,ami_ha,cangra,,2026學習詞表 02-06「他們」
they,ami_ml,ca mira/cangra,,2026學習詞表 02-06「他們」
they,ami_hc,cangra,,2026學習詞表 02-06「他們」
they,ata_sq,lha,,2026學習詞表 02-06「他們」：lha’/lhgan
they,ata_su,laha,,2026學習詞表 02-06「他們」
they,ata_ml,nhaʼ/ inhaʼ,,2026學習詞表 02-06「他們」
they,ata_pl,lahaʼ,,2026學習詞表 02-06「他們」
they,ata_sk,naha,,2026學習詞表 02-06「他們」
they,ata_kl,naha/ lha,,2026學習詞表 02-06「他們」：lha(眉原)
they,say,lasiya,,2026學習詞表 02-06「他們」
they,tha,thaithuy,,2026學習詞表 02-06「他們」：另作他們的
they,sed_to,dhiya,,2026學習詞表 02-06「他們」
they,sed_tg,dheya,,2026學習詞表 02-06「他們」
they,sed_tr,dhiya,,2026學習詞表 02-06「他們」
they,bun_td,nai,,2026學習詞表 02-06「他們」：主格/屬格
they,bun_bh,mangkaʼ,,2026學習詞表 02-06「他們」：mangkiʼ(近)mangkun(中)mangkaʼ(遠)
they,bun_vt,aingka,,"2026學習詞表 02-06「他們」：主格naingkun/aingkun(中),naingka/aingka(遠),受格intaa,"
they,bun_bn,naingka / naita,,2026學習詞表 02-06「他們」：nenka/nai ta
they,bun_ib,naia,,"2026學習詞表 02-06「他們」：主-naiin, naian, naia/ 受-naicin, naitan, naicia"
they,pai_es,tiyamadju,,2026學習詞表 02-06「他們」
they,pai_nt,tiamadju,,2026學習詞表 02-06「他們」
